Meal,Type
Lasagna,dinner
Spaghetti,dinner
Chicken with Red Sauce and Meatballs,dinner
Noodles and White Sauce,dinner
Calzones,dinner
Frozen Pizza,dinner
Fried Chicken,dinner
Biscuits and Gravy and Eggs,breakfast
"Eggs, Pancakes and Breakfast Sausage",breakfast
Waffles and Breakfast Sausage,breakfast
Baked Ziti,dinner
Hamburgers,dinner
Garden Salad,salad
Caesar Salad,salad
Mac and Cheese with Frozen Veggies,lunch
Taco Salad,dinner
Beef Stroganoff,dinner
Goulash,dinner
Krautburger,dinner
Birds Nest Chicken,dinner
Salisbury Steak,dinner
Chicken and Dumplings,dinner
Pulled Pork,dinner
Tacos,dinner
Burritos,dinner
Enchiladas,dinner
Chili,dinner
Pork Chops,dinner
Pork Roast,dinner
Hot Pockets,lunch
Eggplant Parmesan,dinner
Concor Blue Casserole p93 of Cowgirl Cookbook,dinner
Fish Tacos,dinner
Tuna Casserole p 100 cowgirl cookbook,dinner
Meatloaf,dinner
Ribs,dinner
Wings,dinner
Egg Casserole,breakfast
Sloppy Joe’s,lunch
Ravioli and Sauce,dinner
Stuffed Peppers,dinner
Stew,dinner
Italian Sausage Soup,dinner
BBQ Chicken,dinner
Chicken and Biscuits,dinner
Cream Cheese Chicken and Broccoli,dinner
Philly Cheese steak ,dinner
Chicken Fajitas,dinner
Beef Fajitas,dinner
Steak,dinner
Scalloped Potatoes,side
Pizza – Build your own,dinner
Bread sticks,side
Ham and Veggie Bake,dinner
Chicken Alfredo,dinner
Ham and Cheese Sandwiches,lunch
Turkey and Cheese Sandwiches,lunch
Peanut Butter Sandwiches,lunch
Egg Salad,lunch
Chicken Salad,dinner
Deep Fried Burritos,dinner
Chicken Noodle Soup,dinner
Corndogs,lunch
Cheese Tort Soup,dinner
Oatmeal Bake,lunch
Goldfish,snack
Animal Crackers,snack
Cheese Sticks,snack
Peanuts,snack
Fruit Snacks,snack
Granola Bars,snack
Pretzels,snack
Raisins,snack
Oranges,snack
Apples,snack
Bananas,snack
Cheese Crackers,snack
Cereal,breakfast
Oatmeal ,breakfast
Eggs and Hashbrowns,breakfast
